CODE,NAME,LEVEL,PARENT_CODE,STATUS
511124,井研县,3,511100,1
511126,夹江县,3,511100,1
511129,沐川县,3,511100,1
511132,峨边彝族自治县,3,511100,1
511133,马边彝族自治县,3,511100,1
511181,峨眉山市,3,511100,1
511300,南充市,2,510000,1
511302,顺庆区,3,511300,1
511303,高坪区,3,511300,1
511304,嘉陵区,3,511300,1
511321,南部县,3,511300,1
511322,营山县,3,511300,1
511323,蓬安县,3,511300,1
511324,仪陇县,3,511300,1
511325,西充县,3,511300,1
511381,阆中市,3,511300,1
511400,眉山市,2,510000,1
511402,东坡区,3,511400,1
511403,彭山区,3,511400,1
511421,仁寿县,3,511400,1
511423,洪雅县,3,511400,1
511424,丹棱县,3,511400,1
511425,青神县,3,511400,1
511500,宜宾市,2,510000,1
511502,翠屏区,3,511500,1
511503,南溪区,3,511500,1
511504,叙州区,3,511500,1
511523,江安县,3,511500,1
511524,长宁县,3,511500,1
511525,高县,3,511500,1
511526,珙县,3,511500,1
511527,筠连县,3,511500,1
511528,兴文县,3,511500,1
511529,屏山县,3,511500,1
511600,广安市,2,510000,1
511602,广安区,3,511600,1
511603,前锋区,3,511600,1
511621,岳池县,3,511600,1
511622,武胜县,3,511600,1
511623,邻水县,3,511600,1
511681,华蓥市,3,511600,1
511700,达州市,2,510000,1
511702,通川区,3,511700,1
511703,达川区,3,511700,1
511722,宣汉县,3,511700,1
511723,开江县,3,511700,1
511724,大竹县,3,511700,1
511725,渠县,3,511700,1
511781,万源市,3,511700,1
511800,雅安市,2,510000,1
511802,雨城区,3,511800,1
511803,名山区,3,511800,1
511822,荥经县,3,511800,1
511823,汉源县,3,511800,1
511824,石棉县,3,511800,1
511825,天全县,3,511800,1
511826,芦山县,3,511800,1
511827,宝兴县,3,511800,1
511900,巴中市,2,510000,1
511902,巴州区,3,511900,1
511903,恩阳区,3,511900,1
511921,通江县,3,511900,1
511922,南江县,3,511900,1
511923,平昌县,3,511900,1
512000,资阳市,2,510000,1
512002,雁江区,3,512000,1
512021,安岳县,3,512000,1
512022,乐至县,3,512000,1
513200,阿坝藏族羌族自治州,2,510000,1
513201,马尔康市,3,513200,1
513221,汶川县,3,513200,1
513222,理县,3,513200,1
513223,茂县,3,513200,1
513224,松潘县,3,513200,1
513225,九寨沟县,3,513200,1
513226,金川县,3,513200,1
513227,小金县,3,513200,1
513228,黑水县,3,513200,1
513230,壤塘县,3,513200,1
513231,阿坝县,3,513200,1
513232,若尔盖县,3,513200,1
513233,红原县,3,513200,1
513300,甘孜藏族自治州,2,510000,1
513301,康定市,3,513300,1
513322,泸定县,3,513300,1
513323,丹巴县,3,513300,1
513324,九龙县,3,513300,1
513325,雅江县,3,513300,1
513326,道孚县,3,513300,1
